,Unnamed: 0,Unnamed: 0.1,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
1025,1025,1282,316013007,2017-01-21T04:34:55,44.218270000000004,-76.45311,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
1051,1051,1314,316013007,2017-01-21T18:11:08,44.21534000000001,-76.42603000000003,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
489,489,618,316013007,2017-01-11T00:15:35,44.21933,-76.4428,-0.1,-49.6,108.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
539,539,674,316013007,2017-01-12T01:09:17,44.21932,-76.4616,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
549,549,684,316013007,2017-01-12T05:10:41,44.22099,-76.4578,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
1256,1256,1564,316013007,2017-01-25T22:38:47,44.21998,-76.45134,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
556,556,694,316013007,2017-01-12T07:21:25,44.21534000000001,-76.42604,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
832,832,1046,316013007,2017-01-17T09:33:21,44.21536,-76.42605999999998,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
589,589,736,316013007,2017-01-13T02:44:07,44.22202,-76.46706,-0.1,-49.6,99.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
698,698,876,316013007,2017-01-15T09:38:51,44.21535,-76.42605,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
25,25,30,316013007,2017-01-01T16:44:10,44.21885,-76.45111999999997,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
533,533,668,316013007,2017-01-11T21:22:08,44.21534000000001,-76.42605999999998,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
801,801,1004,316013007,2017-01-16T20:38:35,44.21881,-76.44796,-0.1,-49.6,99.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
1405,1405,1742,316013007,2017-01-28T18:27:47,44.22002,-76.46129,-0.1,-49.6,103.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
166,166,204,316013007,2017-01-04T09:37:17,44.21535,-76.42605,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
399,399,504,316013007,2017-01-09T04:58:02,44.215379999999996,-76.42624,-0.1,-49.6,112.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
47,47,58,316013007,2017-01-02T02:25:10,44.21535,-76.42605999999998,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
311,311,388,316013007,2017-01-07T12:43:57,44.21533,-76.42605,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
1575,1575,1948,316013007,2017-01-31T14:58:17,44.21533,-76.42605999999998,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
