,Unnamed: 0,Unnamed: 0.1,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
823,823,1032,316013007,2017-01-17T05:13:40,44.22279,-76.4709,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
1324,1324,1646,316013007,2017-01-27T04:28:59,44.22331,-76.47374,-0.1,-49.6,153.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
1089,1089,1358,316013007,2017-01-22T15:37:09,44.22353,-76.47261999999998,-0.1,-49.6,149.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
57,57,70,316013007,2017-01-02T06:34:09,44.22278,-76.47129,-0.1,-49.6,121.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
863,863,1088,316013007,2017-01-18T07:05:17,44.22335,-76.47272,-0.1,-49.6,133.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
357,357,448,316013007,2017-01-08T11:21:34,44.22253,-76.47183000000003,-0.1,-49.6,113.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
1586,1586,1962,316013007,2017-01-31T19:06:02,44.22267,-76.47291,-0.1,-49.6,118.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
1451,1451,1794,316013007,2017-01-29T15:36:29,44.22341,-76.47224,-0.1,-49.6,152.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
258,258,320,316013007,2017-01-06T15:35:47,44.223440000000004,-76.47254000000002,-0.1,-49.6,151.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
1564,1564,1934,316013007,2017-01-31T11:22:44,44.222359999999995,-76.47162,-0.1,-49.6,120.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
949,949,1190,316013007,2017-01-19T15:29:08,44.22185,-76.47068,-0.1,-49.6,125.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
186,186,232,316013007,2017-01-04T21:18:51,44.22238,-76.47088000000002,-0.1,-49.6,89.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
491,491,620,316013007,2017-01-11T01:07:28,44.22413,-76.475,-0.1,-49.6,138.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
1103,1103,1374,316013007,2017-01-22T21:46:05,44.22414000000001,-76.47421999999997,-0.1,-49.6,152.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
666,666,830,316013007,2017-01-14T15:37:20,44.22371,-76.47256,-0.1,-49.6,139.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
