,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
10585,10585,316013007,2017-01-09T06:49:29,44.23263,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
6613,6613,316013007,2017-01-06T04:19:37,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
2784,2784,316013007,2017-01-03T04:16:45,44.23262,-76.47702,-0.1,-49.6,102,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
27381,27381,316013007,2017-01-22T11:05:26,44.23262,-76.47636999999997,-0.1,-49.6,93,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
34302,34302,316013007,2017-01-27T20:00:37,44.23261,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
5374,5374,316013007,2017-01-05T04:20:35,44.23261,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
15626,15626,316013007,2017-01-13T05:29:29,44.23261,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
14816,14816,316013007,2017-01-12T14:27:08,44.2326,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
3569,3569,316013007,2017-01-03T18:49:38,44.23261,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
36903,36903,316013007,2017-01-29T20:56:02,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
4512,4512,316013007,2017-01-04T12:12:37,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
15437,15437,316013007,2017-01-13T01:56:49,44.2326,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
25861,25861,316013007,2017-01-21T06:54:26,44.2326,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
13888,13888,316013007,2017-01-11T20:48:48,44.23262,-76.47697,-0.1,-49.6,97,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
36605,36605,316013007,2017-01-29T15:23:59,44.23261,-76.47704,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
19428,19428,316013007,2017-01-16T06:52:07,44.23262,-76.47704,-0.1,-49.6,102,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
19765,19765,316013007,2017-01-16T13:14:09,44.2326,-76.47705,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
19996,19996,316013007,2017-01-16T17:31:47,44.23259,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
31428,31428,316013007,2017-01-25T14:26:09,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
12505,12505,316013007,2017-01-10T18:52:07,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
10216,10216,316013007,2017-01-08T23:57:21,44.23262,-76.47700999999998,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
29578,29578,316013007,2017-01-24T04:01:43,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
19222,19222,316013007,2017-01-16T02:57:35,44.2326,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
11341,11341,316013007,2017-01-09T21:07:05,44.23262,-76.47697,-0.1,-49.6,97,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
8769,8769,316013007,2017-01-07T20:57:06,44.23261,-76.47702,-0.1,-49.6,99,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
32881,32881,316013007,2017-01-26T17:21:36,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
33932,33932,316013007,2017-01-27T13:09:38,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
37641,37641,316013007,2017-01-30T11:14:16,44.23261,-76.47704,-0.1,-49.6,102,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
16719,16719,316013007,2017-01-14T02:50:17,44.23261,-76.47700999999998,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
23491,23491,316013007,2017-01-19T11:02:54,44.23263,-76.47695999999998,-0.1,-49.6,97,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
36494,36494,316013007,2017-01-29T13:20:03,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
13893,13893,316013007,2017-01-11T20:54:25,44.23261,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
18899,18899,316013007,2017-01-15T20:57:52,44.23261,-76.47702,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
5228,5228,316013007,2017-01-05T01:35:09,44.23262,-76.47705,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
8709,8709,316013007,2017-01-07T19:50:10,44.23261,-76.47697,-0.1,-49.6,98,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
22928,22928,316013007,2017-01-18T23:50:43,44.23261,-76.47702,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
8772,8772,316013007,2017-01-07T21:00:31,44.23261,-76.47704,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
17462,17462,316013007,2017-01-14T17:30:10,44.2326,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
22288,22288,316013007,2017-01-18T12:03:45,44.2326,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
26428,26428,316013007,2017-01-21T17:25:30,44.23261,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
33176,33176,316013007,2017-01-26T22:49:51,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
