MMSI,Longitude,Latitude,SOG,COG,Heading
316015121,-76.71064,44.17766,8.7,-88.5,511.0
316015121,-76.70332,44.17216,0.1,37.0,511.0
316015121,-76.7128,44.17949,8.6,-87.7,511.0
316015121,-76.70376,44.17236,3.9,-128.2,511.0
316015121,-76.70598,44.17366,7.9,-91.7,511.0
316015121,-76.70809,44.17542,8.6,-89.8,511.0
316015121,-76.71487,44.18135,8.5,-87.0,511.0
316015121,-76.71689,44.18319,8.4,-94.4,511.0
316015121,-76.72232,44.18661,7.7,-122.5,511.0
316015121,-76.72835,44.18792,7.7,-125.9,511.0
316015121,-76.72512,44.18729,7.5,-121.3,511.0
316015121,-76.71931,44.18521,8.2,-97.4,511.0
316015121,-76.7317,44.18847,7.5,-130.8,511.0
316015121,-76.73788,44.18931,7.6,-126.1,511.0
316015121,-76.74065,44.19022,5.9,-82.2,511.0
316015121,-76.74056,44.19277,0.1,-82.5,511.0
316015121,-76.73453,44.18883,7.4,-130.9,511.0
316015121,-76.74062,44.19257,1.6,17.5,511.0
316015121,-76.74052,44.19279,0.1,-87.2,511.0
316015121,-76.74093,44.19167,5.2,6.7,511.0
316015121,-76.74056,44.19277,0.5,3.8,511.0
316015121,-76.74053,44.19279,0.0,-80.9,511.0
316015121,-76.74059,44.19279,0.0,-83.6,511.0
316015121,-76.74052,44.19281,0.0,-110.5,511.0
316015121,-76.74052,44.19276,1.0,-195.9,511.0
316015121,-76.74049,44.19281,0.0,-99.6,511.0
316015121,-76.73932,44.1879,8.6,105.6,511.0
316015121,-76.7356,44.1871,8.6,105.0,511.0
316015121,-76.74051,44.19279,0.1,-123.8,511.0
316015121,-76.74119,44.19134,7.0,200.1,511.0
316015121,-76.72861,44.18576,8.8,104.7,511.0
316015121,-76.74051,44.19281,0.0,-123.7,511.0
316015121,-76.74052,44.19279,0.1,-125.0,511.0
316015121,-76.74178,44.189,7.6,161.1,511.0
316015121,-76.73188,44.18634,8.7,105.6,511.0
316015121,-76.72527,44.18512,8.9,106.6,511.0
316015121,-76.70823,44.17582,8.5,149.0,511.0
316015121,-76.70656,44.1739,6.8,143.1,511.0
316015121,-76.71765,44.18315,8.9,116.0,511.0
316015121,-76.72139,44.18432,9.0,107.4,511.0
316015121,-76.71462,44.18198,8.7,121.5,511.0
316015121,-76.70329,44.17225,0.6,124.8,511.0
316015121,-76.71173,44.18021,8.3,146.2,511.0
316015121,-76.70486,44.17277,3.4,121.8,511.0
316015121,-76.70325,44.17222,0.0,110.7,511.0
316015121,-76.70331,44.1722,0.0,69.1,511.0
316015121,-76.71016,44.17814,8.4,151.1,511.0
316015121,-76.70323,44.1722,0.0,105.1,511.0
316015121,-76.70325,44.1722,0.0,119.8,511.0
316015121,-76.70327,44.17221,0.0,121.9,511.0
316015121,-76.71289,44.17842,8.9,-89.6,511.0
316015121,-76.7032,44.17226,0.0,120.0,511.0
316015121,-76.70324,44.17221,0.0,93.9,511.0
316015121,-76.70377,44.17236,2.2,106.5,511.0
316015121,-76.70561,44.17267,7.4,-110.2,511.0
316015121,-76.71032,44.17619,8.8,-89.3,511.0
316015121,-76.70329,44.17223,0.0,80.2,511.0
316015121,-76.70339,44.17226,1.8,-115.3,511.0
316015121,-76.71758,44.18263,8.5,-85.6,511.0
316015121,-76.73085,44.18998,7.9,-131.9,511.0
316015121,-76.72488,44.18787,8.5,-106.9,511.0
316015121,-76.72795,44.18935,8.2,-109.2,511.0
316015121,-76.70819,44.17439,8.6,-90.8,511.0
316015121,-76.7377,44.18965,7.5,-143.9,511.0
316015121,-76.70325,44.17222,0.1,70.6,511.0
316015121,-76.73432,44.19006,7.6,-147.7,511.0
316015121,-76.7197,44.18449,8.4,-89.7,511.0
316015121,-76.71504,44.18034,8.8,-90.6,511.0
316015121,-76.74119,44.19119,4.5,3.5,511.0
316015121,-76.74056,44.19276,0.1,19.0,511.0
316015121,-76.74078,44.1924,2.6,22.0,511.0
316015121,-76.74044,44.18993,6.9,-109.6,511.0
316015121,-76.74058,44.19273,0.0,-92.8,511.0
316015121,-76.74062,44.1927,0.0,-104.3,511.0
316015121,-76.74053,44.19275,0.0,-78.0,511.0
316015121,-76.72235,44.18639,8.5,-94.7,511.0
316015121,-76.74062,44.1927,0.0,-115.9,511.0
316015121,-76.74062,44.19272,0.0,-120.6,511.0
316015121,-76.74061,44.19275,0.0,-141.6,511.0
316015121,-76.74056,44.19274,0.0,-55.6,511.0
316015121,-76.74058,44.19276,0.0,15.3,511.0
316015121,-76.72835,44.18615,8.3,110.4,511.0
316015121,-76.74062,44.19272,0.0,-122.8,511.0
316015121,-76.7406,44.19276,0.0,-140.5,511.0
316015121,-76.74062,44.19275,0.1,-135.7,511.0
316015121,-76.74128,44.19137,6.3,202.3,511.0
316015121,-76.73194,44.18691,8.1,105.0,511.0
316015121,-76.73544,44.18761,8.3,105.3,511.0
316015121,-76.72183,44.18454,8.3,114.9,511.0
316015121,-76.74172,44.18962,6.8,160.0,511.0
316015121,-76.71846,44.18334,8.3,118.3,511.0
316015121,-76.71523,44.18205,8.3,121.2,511.0
316015121,-76.71269,44.18072,8.1,134.3,511.0
316015121,-76.71055,44.17861,7.9,150.3,511.0
316015121,-76.70917,44.17672,7.8,153.8,511.0
316015121,-76.70324,44.17218,0.0,95.9,511.0
316015121,-76.74053,44.19268,1.4,190.6,511.0
316015121,-76.73893,44.18838,8.1,109.8,511.0
316015121,-76.72482,44.18534,8.2,109.1,511.0
316015121,-76.70322,44.17215,0.0,111.5,511.0
316015121,-76.70367,44.1723,1.7,93.4,511.0
316015121,-76.70322,44.17216,0.0,139.6,511.0
316015121,-76.70584,44.17303,7.7,-99.7,511.0
316015121,-76.70755,44.1745,7.1,149.4,511.0
316015121,-76.70594,44.17301,4.7,127.8,511.0
316015121,-76.70322,44.17216,0.0,117.4,511.0
316015121,-76.71323,44.17895,8.7,-89.8,511.0
316015121,-76.71798,44.18288,8.7,-92.5,511.0
316015121,-76.70319,44.17216,0.1,155.7,511.0
316015121,-76.70324,44.17215,0.0,186.2,511.0
316015121,-76.70369,44.17221,3.9,-135.4,511.0
316015121,-76.71541,44.18075,8.6,-91.0,511.0
316015121,-76.70468,44.17249,3.0,114.7,511.0
316015121,-76.7033,44.17226,0.4,101.2,511.0
316015121,-76.70323,44.17216,0.0,109.3,511.0
316015121,-76.72271,44.18668,8.5,-90.8,511.0
316015121,-76.73844,44.1897,7.4,-141.5,511.0
316015121,-76.72015,44.18462,8.5,-92.2,511.0
316015121,-76.70317,44.17214,0.0,105.3,511.0
316015121,-76.7085,44.17496,8.6,-91.7,511.0
316015121,-76.73207,44.18991,7.5,-135.4,511.0
316015121,-76.71072,44.17678,8.8,-90.5,511.0
316015121,-76.74058,44.19273,0.5,18.4,511.0
316015121,-76.74056,44.19277,0.0,6.5,511.0
316015121,-76.74055,44.19276,0.0,-71.5,511.0
316015121,-76.74057,44.19272,1.3,191.2,511.0
316015121,-76.74057,44.19279,0.0,-99.8,511.0
316015121,-76.74056,44.19281,0.0,-81.7,511.0
316015121,-76.74055,44.19278,0.0,-120.2,511.0
316015121,-76.72541,44.18853,8.2,-106.5,511.0
316015121,-76.72875,44.18945,7.8,-124.5,511.0
316015121,-76.735,44.1899,7.6,-145.4,511.0
316015121,-76.74073,44.19033,4.4,-73.5,511.0
316015121,-76.74091,44.19161,4.4,4.6,511.0
316015121,-76.74056,44.19277,0.0,-136.9,511.0
316015121,-76.74129,44.18936,7.1,152.7,511.0
316015121,-76.73518,44.18735,8.0,106.4,511.0
316015121,-76.7407,44.19247,1.8,7.5,511.0
316015121,-76.74057,44.19278,0.0,-128.1,511.0
316015121,-76.72861,44.18604,8.5,108.8,511.0
316015121,-76.7411,44.19139,6.2,194.0,511.0
316015121,-76.71533,44.18208,8.5,123.1,511.0
316015121,-76.71037,44.17804,8.3,146.1,511.0
316015121,-76.72549,44.18531,8.5,111.9,511.0
316015121,-76.74055,44.19279,0.0,-113.9,511.0
316015121,-76.70834,44.17584,8.3,146.9,511.0
316015121,-76.72173,44.18437,8.5,112.0,511.0
316015121,-76.71824,44.18328,8.7,115.6,511.0
316015121,-76.73878,44.18831,8.1,108.5,511.0
316015121,-76.73173,44.18662,8.3,102.2,511.0
316015121,-76.70321,44.17219,0.0,131.2,511.0
316015121,-76.70497,44.17288,3.9,124.4,511.0
316015121,-76.7037,44.1724,2.0,112.3,511.0
316015121,-76.70321,44.17219,0.0,190.6,511.0
316015121,-76.70331,44.17227,0.4,115.0,511.0
316015121,-76.70319,44.17219,0.0,156.2,511.0
316015121,-76.71249,44.18025,8.3,141.1,511.0
316015121,-76.70325,44.17222,0.1,-143.7,511.0
316015121,-76.70323,44.1722,0.0,-162.3,511.0
316015121,-76.70324,44.17218,0.1,-132.7,511.0
316015121,-76.71673,44.18167,8.5,-89.1,511.0
316015121,-76.71421,44.17945,8.9,-89.3,511.0
316015121,-76.70325,44.17221,0.0,-173.3,511.0
316015121,-76.70663,44.174,6.6,143.6,511.0
316015121,-76.71919,44.18375,8.6,-89.3,511.0
316015121,-76.73061,44.18901,7.9,-129.0,511.0
316015121,-76.70448,44.17242,5.9,-125.6,511.0
316015121,-76.71202,44.1776,8.9,-91.8,511.0
316015121,-76.7032,44.17218,0.0,-193.2,511.0
316015121,-76.72422,44.18738,8.3,-111.2,511.0
316015121,-76.74014,44.19013,5.9,-100.8,511.0
316015121,-76.72179,44.18585,8.6,-91.6,511.0
316015121,-76.72769,44.18848,8.0,-119.2,511.0
316015121,-76.74077,44.19124,3.6,-50.3,511.0
316015121,-76.7405,44.19276,0.0,-68.0,511.0
316015121,-76.70323,44.17219,0.0,-157.7,511.0
316015121,-76.70327,44.17221,0.9,-112.8,511.0
316015121,-76.70719,44.17373,8.4,-97.9,511.0
316015121,-76.70949,44.1755,8.8,-90.6,511.0
316015121,-76.74051,44.19273,0.0,13.7,511.0
316015121,-76.74058,44.19273,0.6,9.8,511.0
316015121,-76.74052,44.19272,0.0,-49.8,511.0
316015121,-76.74051,44.19274,0.0,-75.4,511.0
316015121,-76.74053,44.19276,0.0,-127.7,511.0
316015121,-76.74055,44.19273,0.0,-91.1,511.0
316015121,-76.74054,44.19276,0.0,-101.6,511.0
316015121,-76.74052,44.19273,0.0,-83.0,511.0
316015121,-76.74055,44.19274,0.0,-95.5,511.0
316015121,-76.7341,44.18929,7.8,-136.9,511.0
316015121,-76.73713,44.18937,8.0,-132.1,511.0
316015121,-76.74059,44.1923,2.8,4.4,511.0
316015121,-76.73954,44.18807,8.3,113.8,511.0
316015121,-76.74055,44.19279,0.0,-108.8,511.0
316015121,-76.74092,44.19202,5.8,-204.2,511.0
316015121,-76.7417,44.1899,7.5,173.4,511.0
316015121,-76.72311,44.18367,8.7,114.0,511.0
316015121,-76.71959,44.18245,8.6,118.4,511.0
316015121,-76.72668,44.18477,8.7,112.9,511.0
316015121,-76.73651,44.18724,8.4,107.0,511.0
316015121,-76.70477,44.17275,4.4,118.6,511.0
316015121,-76.71106,44.17753,8.5,137.4,511.0
316015121,-76.70856,44.17548,8.6,140.4,511.0
316015121,-76.70361,44.17234,1.8,107.2,511.0
316015121,-76.73026,44.18581,8.5,112.2,511.0
316015121,-76.70322,44.17222,0.2,117.3,511.0
