,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
0,0,316013007,2017-01-01T00:05:38,44.22577,-76.47336999999997,-0.1,-49.6,184.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1,2,316013007,2017-01-01T00:14:16,44.21882,-76.44503,-0.1,-49.6,105.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
2,3,316013007,2017-01-01T00:14:16,44.21146000000001,-76.45524999999998,-0.1,-49.6,195.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
3,4,316013007,2017-01-01T00:23:56,44.21536,-76.42605,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
4,5,316013007,2017-01-01T00:23:56,44.19248000000001,-76.45871,-0.1,-49.6,206.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
5,6,316013007,2017-01-01T00:32:57,44.21539,-76.42625,-0.1,-49.6,110.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
6,7,316013007,2017-01-01T00:32:57,44.19268,-76.45867999999999,-0.1,-49.6,200.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
7,8,316013007,2017-01-01T01:01:46,44.23259,-76.47704,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,2
8,10,316013007,2017-01-01T01:34:17,44.21607,-76.42914,-0.1,-49.6,103.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
9,11,316013007,2017-01-01T01:34:17,44.19557000000001,-76.458,-0.1,-49.6,193.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
10,12,316013007,2017-01-01T01:37:41,44.21832,-76.44109,-0.1,-49.6,96.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
