MMSI,Longitude,Latitude,SOG,COG,Heading
316013007,-76.42541,44.23264,-0.1,-49.6,120.0
316013007,-76.42331,44.22846,-0.1,-49.6,179.0
316013007,-76.42704,44.23262,-0.1,-49.6,100.0
316013007,-76.42384,44.23064,-0.1,-49.6,172.0
316013007,-76.42017,44.22276,-0.1,-49.6,103.0
316013007,-76.42291,44.22363,-0.1,-49.6,151.0
316013007,-76.41644000000001,44.22222,-0.1,-49.6,105.0
316013007,-76.41213,44.22148,-0.1,-49.6,106.0
316013007,-76.42337,44.22577,-0.1,-49.6,184.0
316013007,-76.39946,44.21953,-0.1,-49.6,104.0
316013007,-76.40766,44.22078,-0.1,-49.6,102.0
316013007,-76.39503,44.21882,-0.1,-49.6,105.0
316013007,-76.39123000000001,44.21819,-0.1,-49.6,106.0
316013007,-76.40385,44.22019,-0.1,-49.6,104.0
316013007,-76.38739,44.21754,-0.1,-49.6,106.0
316013007,-76.37937000000001,44.21605,-0.1,-49.6,108.0
316013007,-76.38306,44.21675,-0.1,-49.6,104.0
316013007,-76.37608,44.21536,-0.1,-49.6,114.0
316013007,-76.37605,44.21536,-0.1,-49.6,116.0
316013007,-76.37604,44.21535,-0.1,-49.6,116.0
316013007,-76.37605,44.21535,-0.1,-49.6,116.0
316013007,-76.37683,44.21551,-0.1,-49.6,108.0
316013007,-76.37604,44.21536,-0.1,-49.6,116.0
316013007,-76.37606000000001,44.21536,-0.1,-49.6,117.0
316013007,-76.37605,44.21535,-0.1,-49.6,116.0
316013007,-76.37603,44.21535,-0.1,-49.6,116.0
316013007,-76.37603,44.21535,-0.1,-49.6,116.0
316013007,-76.37604,44.21535,-0.1,-49.6,116.0
316013007,-76.37605,44.21535,-0.1,-49.6,116.0
316013007,-76.37895,44.21591,-0.1,-49.6,100.0
316013007,-76.38645,44.21722,-0.1,-49.6,99.0
316013007,-76.37625,44.21539,-0.1,-49.6,110.0
316013007,-76.39806,44.21909,-0.1,-49.6,107.0
316013007,-76.38295000000001,44.21657,-0.1,-49.6,100.0
316013007,-76.3905,44.21796,-0.1,-49.6,100.0
316013007,-76.40952,44.22075,-0.1,-49.6,96.0
316013007,-76.39467,44.21861,-0.1,-49.6,102.0
316013007,-76.40612,44.2204,-0.1,-49.6,103.0
316013007,-76.41364,44.22111,-0.1,-49.6,100.0
316013007,-76.42153,44.22278,-0.1,-49.6,112.0
316013007,-76.40227,44.21981,-0.1,-49.6,106.0
316013007,-76.42417,44.23108,-0.1,-49.6,159.0
316013007,-76.42702,44.23262,-0.1,-49.6,99.0
316013007,-76.41762,44.22183,-0.1,-49.6,102.0
316013007,-76.42358,44.22795,-0.1,-49.6,171.0
316013007,-76.42705000000001,44.2326,-0.1,-49.6,101.0
316013007,-76.42705000000001,44.2326,-0.1,-49.6,100.0
316013007,-76.42704,44.23261,-0.1,-49.6,101.0
316013007,-76.42704,44.23262,-0.1,-49.6,101.0
316013007,-76.42304,44.22479,-0.1,-49.6,167.0
316013007,-76.42703,44.23262,-0.1,-49.6,101.0
316013007,-76.42705000000001,44.2326,-0.1,-49.6,100.0
316013007,-76.42629000000001,44.23261,-0.1,-49.6,100.0
316013007,-76.42705000000001,44.23262,-0.1,-49.6,101.0
